TAG,Species,QUAD,Hectare,XCO,YCO,Year,DBH,Size Class,Status,Age,Age Class,SP,Frequency,rEQUENCY,No.of Individual of Species,Density,AGB,BGBC,AGBC,BGB,Carbon,Price of Carbon,Basal Area,Dom,RFre,RDom,RDen,IV,Growth,Growth rate,Height,Volume Growth,% Volume Growth,Harvest / Post-Felling,Damage,Lifespan,Species_V1,age_1
2632B,CROTLA,13,1,42.4,53.2,2017.00,21,Understory,Alive,5,Young,,,22,22,11,8926.45,"2,097.72","4,195.43","4,463.23",0.42,13.01,0.19,0.09,0.07,9.31,113.17,122.55,0.2,0.1,24.9,352.12,3.52,Pre-Felling,50,5,NonDipterocarp,18
2632C,AIDIWA,13,1,42,51.5,2017.00,24.9,Understory,Alive,5,Young,,,1,1,0.5,707.96,166.37,332.74,353.98,0.03,1.03,0.22,0.11,0,11.03,5.14,16.18,1.4,0.7,27.4,545.66,5.46,Pre-Felling,50,8,NonDipterocarp,20
2633,TRI3LA,13,1,41.3,55.1,2017.00,0,Dead,Dead,0,Dead,,,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,0,NonDipterocarp,0
2634,SANTAP,13,1,42,59.4,2017.00,19.9,Understory,Alive,51,Intermediate,,,4,4,2,1364.26,320.6,641.2,682.13,0.06,1.99,0.18,0.09,0.01,8.82,20.58,29.41,0.1,0.05,24.1,306.17,3.06,Pre-Felling,50,0,NonDipterocarp,18
2634A,TRI3LA,13,1,40.2,59,2017.00,11.5,Understory,Alive,38,Intermediate,,,2,2,1,123.26,25.27,57.93,53.76,0.01,0.18,0.1,0.05,0.01,5.1,10.29,15.39,0,0,16.7,70.91,0.71,Pre-Felling,0,0,NonDipterocarp,15
2635,PTYCCO,13,1,45.4,59.7,2017.00,12.3,Understory,Alive,51,Intermediate,,,14,14,7,1058.13,248.66,497.32,529.06,0.05,1.54,0.11,0.05,0.05,5.45,72.02,77.51,0,0,17.5,85.13,0.85,Pre-Felling,0,0,NonDipterocarp,15
2635A,SHORAC,13,1,44.8,58.3,2017.00,41.8,Canopy,Alive,33,Intermediate,,,17,17,8.5,69717.89,"16,383.70","32,767.41","34,858.95",3.28,101.58,0.37,0.19,0.06,18.52,87.45,106.03,0,0,35.3,"1,978.00",19.78,Pre-Felling,40,0,Dipterocarp,26
2636,MESUFE,13,1,57.3,57.3,2017.00,0,Dead,Dead,0,Dead,,,15,15,7.5,0,0,0,0,0,0,0,0,0.05,0,77.16,77.21,0,0,0,0,0,,0,0,NonDipterocarp,0
2636A,SHORL1,13,1,54.1,56.3,2017.00,18,Understory,Alive,5,Young,,,18,18,9,4452.93,"1,046.44","2,092.88","2,226.47",0.21,6.49,0.16,0.08,0.06,7.98,92.59,100.63,3,1.5,22.6,235.46,2.35,Pre-Felling,50,0,Dipterocarp,17
2636B,DACRR1,13,1,53.8,58.4,2017.00,16.6,Understory,Alive,5,Young,,,44,44,22,8422.41,"1,979.27","3,958.53","4,211.20",0.4,12.27,0.15,0.07,0.15,7.36,226.34,233.84,1.1,0.55,21.5,190.17,1.9,Pre-Felling,50,0,NonDipterocarp,17
2637,POMEPA,13,1,58,40.3,2017.00,52.6,Canopy,Alive,65,Mature,,,6,6,3,55315.84,"12,999.22","25,998.44","27,657.92",2.6,80.6,0.47,0.23,0.02,23.31,30.86,54.19,0.1,0.05,38.6,"3,429.19",34.29,Pre-Felling,30,0,NonDipterocarp,30
2639,LEPISE,13,1,58.3,46.3,2017.00,0,Dead,Dead,0,Dead,,,11,11,5.5,0,0,0,0,0,0,0,0,0.04,0,56.58,56.62,0,0,0,0,0,,0,0,NonDipterocarp,0
2640,DIOSAP,13,1,57.3,41.7,2017.00,0,Dead,Dead,0,Dead,,,7,7,3.5,0,0,0,0,0,0,0,0,0.02,0,36.01,36.03,0,0,0,0,0,,0,8,NonDipterocarp,0
2641,KOOMMA,13,1,56.8,41.8,2017.00,0,Dead,Dead,0,Dead,,,9,9,4.5,0,0,0,0,0,0,0,0,0.03,0,46.3,46.33,0,0,0,0,0,,0,7,NonDipterocarp,0
2642,DIPLMA,14,1,60.4,50.4,2017.00,0,Dead,Dead,0,Dead,,,11,11,5.5,0,0,0,0,0,0,0,0,0.04,0,56.58,56.62,0,0,0,0,0,,0,0,NonDipterocarp,0
2642A,MACALO,14,1,78.3,49.7,2017.00,0,Dead,Dead,0,Dead,,,34,34,17,0,0,0,0,0,0,0,0,0.11,0,174.9,175.01,0,0,0,0,0,,0,0,NonDipterocarp,0
2642B,QUERAR,14,1,64.9,43.1,2017.00,0,Dead,Dead,0,Dead,,,9,9,4.5,0,0,0,0,0,0,0,0,0.03,0,46.3,46.33,0,0,0,0,0,,0,0,NonDipterocarp,0
2642C,CALOMA,14,1,0,0,2017.00,0,Dead,Dead,0,Dead,,,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,0,NonDipterocarp,0
2643,LITHCU,14,1,61.7,53,2017.00,17.3,Understory,Alive,51,Intermediate,,,11,11,5.5,2399.23,563.82,"1,127.64","1,199.61",0.11,3.5,0.15,0.08,0.04,7.67,56.58,64.29,0,0,22.1,212.1,2.12,Pre-Felling,50,0,NonDipterocarp,17
2643A,AAAAAA,14,1,62.4,48.3,2017.00,0,Dead,Dead,0,,,,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,-12.9,-6.45,0,0,0,,0,0,NonDipterocarp,0
2643B,SAPIBA,14,1,62.6,50.2,2017.00,21.1,Understory,Alive,5,Young,,,2,2,1,824.08,193.66,387.32,412.04,0.04,1.2,0.19,0.09,0.01,9.35,10.29,19.64,2.6,1.3,24.9,356.48,3.56,Pre-Felling,50,0,NonDipterocarp,19
2643C,EUGERI,14,1,63,53.1,2017.00,14.1,Understory,Alive,5,Young,,,9,9,4.5,1034.59,243.13,486.26,517.3,0.05,1.51,0.12,0.06,0.03,6.25,46.3,52.57,0.6,0.3,19.3,123.07,1.23,Pre-Felling,0,0,NonDipterocarp,16
2644,DIPTC1,14,1,65.8,52.5,2017.00,0,Dead,Dead,0,Dead,,,27,27,13.5,0,0,0,0,0,0,0,0,0.09,0,138.89,138.98,0,0,0,0,0,,0,6,Dipterocarp,0
2645,VATIBE,14,1,66.7,52.1,2017.00,0,Dead,Dead,0,Dead,,,11,11,5.5,0,0,0,0,0,0,0,0,0.04,0,56.58,56.62,0,0,0,0,0,,0,4,NonDipterocarp,0
2645A,DIOSSI,14,1,67.7,51.1,2017.00,12.5,Understory,Alive,38,Intermediate,,,3,3,1.5,238.17,55.97,111.94,119.09,0.01,0.35,0.11,0.06,0.01,5.54,15.43,20.98,0,0,17.7,88.94,0.89,Pre-Felling,0,0,NonDipterocarp,15
2646,PAR1OB,14,1,64.5,54.5,2017.00,22,Understory,Alive,54,Intermediate,,,3,3,1.5,1415.63,332.67,665.35,707.82,0.07,2.06,0.19,0.1,0.01,9.75,15.43,25.19,0,0,25.6,397.14,3.97,Pre-Felling,50,7,NonDipterocarp,19
2647,GIRONE,14,1,66.1,55.1,2017.00,0,Dead,Dead,0,Dead,,,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,0,NonDipterocarp,0
2648,ARCHBU,14,1,69.9,50.1,2017.00,0,Dead,Dead,0,Dead,,,23,23,11.5,0,0,0,0,0,0,0,0,0.08,0,118.31,118.39,0,0,0,0,0,,0,0,NonDipterocarp,0
2648A,SANDKO,14,1,72.7,48.2,2017.00,1.5,Shrub,Alive,46,Intermediate,,,8,8,4,2.2,0.45,1.03,0.96,0,0,0.01,0.01,0.03,0.66,41.15,41.84,-16.3,-8.15,2.9,0.21,0,,0,2,NonDipterocarp,11
2648B,LITHCU,14,1,69.2,48,2017.00,13.2,Understory,Alive,38,Intermediate,,,11,11,5.5,1031.82,242.48,484.96,515.91,0.05,1.5,0.12,0.06,0.04,5.85,56.58,62.47,0.3,0.15,18.4,103.06,1.03,Pre-Felling,0,0,NonDipterocarp,16
2648C,GYNOAX,14,1,66.5,47.5,2017.00,31.1,Canopy,Alive,33,Intermediate,,,2,2,1,2974.16,698.93,"1,397.86","1,487.08",0.14,4.33,0.28,0.14,0.01,13.78,10.29,24.08,1.6,0.8,30.8,956.17,9.56,Pre-Felling,40,10,NonDipterocarp,22
2648D,BEILDI,14,1,67.2,50,2017.00,13.2,Understory,Alive,5,Young,,,10,10,5,938.02,220.44,440.87,469.01,0.04,1.37,0.12,0.06,0.03,5.85,51.44,57.32,0.4,0.2,18.4,103.06,1.03,Pre-Felling,0,6,NonDipterocarp,16
2648E,MYRIM3,14,1,66,59.5,2017.00,8.6,Treelet,Alive,5,Young,,,1,1,0.5,26,5.33,12.22,11.34,0,0.04,0.08,0.04,0,3.81,5.14,8.96,-2.6,-1.3,13.4,31.85,0.32,Pre-Felling,0,0,NonDipterocarp,14
2649,GLUTM2,14,1,73.4,52.3,2017.00,63.2,Emergent,Alive,56,Intermediate,,,2,2,1,35699.13,"8,389.30","16,778.59","17,849.57",1.68,52.01,0.56,0.28,0.01,28,10.29,38.3,0.3,0.15,41.1,"5,275.29",52.75,Pre-Felling,20,5,NonDipterocarp,34
2649A,RYPAKU,14,1,72.6,50.5,2017.00,16.7,Understory,Alive,33,Intermediate,,,22,22,11,4291.75,"1,008.56","2,017.12","2,145.87",0.2,6.25,0.15,0.07,0.07,7.4,113.17,120.64,0.7,0.35,21.6,193.22,1.93,Pre-Felling,50,0,NonDipterocarp,17
2649B,PIMEGR,14,1,72.5,52,2017.00,13.7,Understory,Alive,5,Young,,,21,21,10.5,2208.66,519.04,"1,038.07","1,104.33",0.1,3.22,0.12,0.06,0.07,6.07,108.02,114.17,0.5,0.25,18.9,113.91,1.14,Pre-Felling,0,0,NonDipterocarp,16
2649C,SHORM2,14,1,71.4,52.2,2017.00,15.2,Understory,Alive,5,Young,,,28,28,14,4065.27,955.34,"1,910.68","2,032.63",0.19,5.92,0.13,0.07,0.09,6.74,144.03,150.86,0.4,0.2,20.3,150.47,1.5,Pre-Felling,50,0,Dipterocarp,16
2650,ORMOPE,14,1,75.5,48.4,2017.00,67.2,Emergent,Alive,61,Mature,,,1,1,0.5,22320.76,"5,245.38","10,490.76","11,160.38",1.05,32.52,0.6,0.3,0,29.78,5.14,34.92,1.8,0.9,42,"6,082.02",60.82,Pre-Felling,20,0,NonDipterocarp,36
2650A,NEOBHE,14,1,0,0,2017.00,0,Dead,Dead,0,Dead,,,10,10,5,0,0,0,0,0,0,0,0,0.03,0,51.44,51.47,0,0,0,0,0,,0,0,NonDipterocarp,0
2651,CANAPA,14,1,71.6,54.9,2017.00,0,Dead,Dead,0,Dead,,,6,6,3,0,0,0,0,0,0,0,0,0.02,0,30.86,30.88,0,0,0,0,0,,0,0,NonDipterocarp,0
2651A,NAUCOF,14,1,75.9,47.3,2017.00,0,Dead,Dead,0,Dead,,,5,5,2.5,0,0,0,0,0,0,0,0,0.02,0,25.72,25.74,0,0,0,0,0,,0,0,NonDipterocarp,0
2652,DIPLMA,14,1,77.6,55.3,2017.00,16.9,Understory,Alive,51,Intermediate,,,11,11,5.5,2228.07,523.6,"1,047.19","1,114.04",0.1,3.25,0.15,0.07,0.04,7.49,56.58,64.11,0.1,0.05,21.7,199.4,1.99,Pre-Felling,50,0,NonDipterocarp,17
2653,PAROVA,14,1,78.8,57.8,2017.00,21.2,Understory,Alive,51,Intermediate,,,7,7,3.5,2928.79,688.27,"1,376.53","1,464.39",0.14,4.27,0.19,0.09,0.02,9.39,36.01,45.43,0.1,0.05,25,360.87,3.61,Pre-Felling,50,6,NonDipterocarp,19
2654,QUERAR,14,1,79.5,53,2017.00,0,Dead,Dead,0,Dead,,,9,9,4.5,0,0,0,0,0,0,0,0,0.03,0,46.3,46.33,0,0,0,0,0,,0,0,NonDipterocarp,0
2655,SHORM2,14,1,79,47.4,2017.00,0,Dead,Dead,0,Dead,,,28,28,14,0,0,0,0,0,0,0,0,0.09,0,144.03,144.13,0,0,0,0,0,,0,0,Dipterocarp,0
2656,KNEMSC,14,1,79.1,45.2,2017.00,0,Dead,Dead,0,Dead,,,15,15,7.5,0,0,0,0,0,0,0,0,0.05,0,77.16,77.21,0,0,0,0,0,,0,0,NonDipterocarp,0
2657,MANGQU,14,1,76.7,44.2,2017.00,15.2,Understory,Alive,46,Intermediate,,,14,14,7,2032.63,477.67,955.34,"1,016.32",0.1,2.96,0.13,0.07,0.05,6.74,72.02,78.8,0,0,20.3,150.47,1.5,Pre-Felling,50,0,NonDipterocarp,16
2657A,PORTAN,14,1,75.8,44.5,2017.00,14.7,Understory,Alive,5,Young,,,23,23,11.5,3008.84,707.08,"1,414.16","1,504.42",0.14,4.38,0.13,0.07,0.08,6.51,118.31,124.9,0.4,0.2,19.8,137.61,1.38,Pre-Felling,0,0,NonDipterocarp,16
2657B,NOTHUM,14,1,72.5,45,2017.00,12.5,Understory,Alive,5,Young,,,1,1,0.5,79.39,16.28,37.31,34.63,0,0.12,0.11,0.06,0,5.54,5.14,10.69,0.3,0.15,17.7,88.94,0.89,Pre-Felling,0,7,NonDipterocarp,15
2657C,STYRBE,14,1,75.2,40.5,2017.00,19.6,Understory,Alive,5,Young,,,1,1,0.5,324.81,76.33,152.66,162.4,0.02,0.47,0.17,0.09,0,8.68,5.14,13.83,1.8,0.9,23.9,294.28,2.94,Pre-Felling,50,0,NonDipterocarp,18
2657D,POL1HY,14,1,72.6,40.5,2017.00,25.9,Understory,Alive,5,Young,,,6,6,3,4838.18,"1,136.97","2,273.95","2,419.09",0.23,7.05,0.23,0.11,0.02,11.48,30.86,42.36,1.1,0.55,28,603.19,6.03,Pre-Felling,50,0,NonDipterocarp,20
2658,TRI2MA,14,1,78.1,42.9,2017.00,0,Dead,Dead,0,Dead,,,2,2,1,0,0,0,0,0,0,0,0,0.01,0,10.29,10.29,0,0,0,0,0,,0,0,NonDipterocarp,0
2659,SHORP1,14,1,80,42,2017.00,0,Dead,Dead,0,Dead,,,24,24,12,0,0,0,0,0,0,0,0,0.08,0,123.46,123.54,0,0,0,0,0,,0,0,Dipterocarp,0
2660,HOPEME,15,1,88.5,41.4,2017.00,0,Dead,Dead,0,Dead,,,26,26,13,0,0,0,0,0,0,0,0,0.09,0,133.74,133.83,0,0,0,0,0,,0,0,NonDipterocarp,0
2661,SHORM2,15,1,85.8,42.7,2017.00,0,Dead,Dead,0,Dead,,,28,28,14,0,0,0,0,0,0,0,0,0.09,0,144.03,144.13,0,0,0,0,0,,0,0,Dipterocarp,0
2662,VATIBE,15,1,85.8,45,2017.00,15.3,Understory,Alive,51,Intermediate,,,11,11,5.5,1630.11,383.08,766.15,815.06,0.08,2.38,0.14,0.07,0.04,6.78,56.58,63.4,0.2,0.1,20.4,153.12,1.53,Pre-Felling,50,4,NonDipterocarp,16
2662A,MESUFE,15,1,85,45.7,2017.00,13.8,Understory,Alive,33,Intermediate,,,15,15,7.5,1613.42,379.15,758.31,806.71,0.08,2.35,0.12,0.06,0.05,6.11,77.16,83.33,-0.8,-0.4,19,116.16,1.16,Pre-Felling,0,0,NonDipterocarp,16
2662B,MACATR,15,1,81.2,45.6,2017.00,11.7,Understory,Alive,2,Young,,,1,1,0.5,64.93,13.31,30.52,28.32,0,0.09,0.1,0.05,0,5.18,5.14,10.33,11.7,5.85,16.9,74.32,0.74,Pre-Felling,0,0,NonDipterocarp,15
2663,SHORM2,15,1,86.6,45.2,2017.00,0,Dead,Dead,0,Dead,,,28,28,14,0,0,0,0,0,0,0,0,0.09,0,144.03,144.13,0,0,0,0,0,,0,0,Dipterocarp,0
2664,AAAAAA,15,1,0,0,2017.00,0,Dead,Dead,0,Dead,,,12,12,6,0,0,0,0,0,0,0,0,0.04,0,61.73,61.77,0,0,0,0,0,,0,0,NonDipterocarp,0
2665,KNEMMA,15,1,89.5,48.5,2017.00,0,Dead,Dead,0,Dead,,,11,11,5.5,0,0,0,0,0,0,0,0,0.04,0,56.58,56.62,0,0,0,0,0,,0,6,NonDipterocarp,0
2666,INTSPA,15,1,88.1,51.2,2017.00,40.8,Canopy,Alive,61,Mature,,,6,6,3,22618.19,"5,315.27","10,630.55","11,309.10",1.06,32.95,0.36,0.18,0.02,18.08,30.86,48.96,0.3,0.15,34.9,"1,865.20",18.65,Pre-Felling,40,0,NonDipterocarp,26
2666A,ARTOIS,15,1,86.6,49,2017.00,15.7,Understory,Alive,5,Young,,,7,7,3.5,1124.58,264.28,528.55,562.29,0.05,1.64,0.14,0.07,0.02,6.96,36.01,42.99,0.6,0.3,20.7,164.02,1.64,Pre-Felling,50,6,NonDipterocarp,17
2666B,PIMELO,15,1,90.8,49.2,2017.00,13.7,Understory,Alive,5,Young,,,1,1,0.5,105.17,21.56,49.43,45.87,0,0.15,0.12,0.06,0,6.07,5.14,11.22,0.2,0.1,18.9,113.91,1.14,Pre-Felling,0,0,NonDipterocarp,16
2666C,DIOSBU,15,1,91.5,51.1,2017.00,12,Understory,Alive,5,Young,,,10,10,5,701.12,164.76,329.53,350.56,0.03,1.02,0.11,0.05,0.03,5.32,51.44,56.79,0.4,0.2,17.2,79.61,0.8,Pre-Felling,0,0,NonDipterocarp,15
2667,MANGQU,15,1,90.2,48,2017.00,0,Dead,Dead,0,Dead,,,14,14,7,0,0,0,0,0,0,0,0,0.05,0,72.02,72.06,0,0,0,0,0,,0,0,NonDipterocarp,0
2667A,MONOMA,15,1,97,52,2017.00,17.8,Understory,Alive,5,Young,,,30,30,15,7162.47,"1,683.18","3,366.36","3,581.24",0.34,10.44,0.16,0.08,0.1,7.89,154.32,162.31,2.1,1.05,22.5,228.64,2.29,Pre-Felling,50,11,NonDipterocarp,17
2668,QUERAR,15,1,86.2,54.2,2017.00,0,Dead,Dead,0,Dead,,,9,9,4.5,0,0,0,0,0,0,0,0,0.03,0,46.3,46.33,0,0,0,0,0,,0,0,NonDipterocarp,0
2669,MANGQU,15,1,85.8,59.6,2017.00,63.5,Emergent,Alive,61,Mature,,,14,14,7,254229.69,"59,743.98","119,487.96","127,114.85",11.95,370.41,0.56,0.28,0.05,28.14,72.02,100.2,3.3,1.65,41.2,"5,333.70",53.34,Pre-Felling,20,0,NonDipterocarp,34
2669A,GARCMA,15,1,84.4,59.2,2017.00,11.6,Understory,Alive,5,Young,,,3,3,1.5,189.8,44.6,89.2,94.9,0.01,0.28,0.1,0.05,0.01,5.14,15.43,20.58,-5.1,-2.55,16.8,72.6,0.73,Pre-Felling,0,8,NonDipterocarp,15
2670,EUGEFL,15,1,87.1,58.7,2017.00,40.6,Canopy,Alive,55,Intermediate,,,2,2,1,7411.78,"1,741.77","3,483.54","3,705.89",0.35,10.8,0.36,0.18,0.01,17.99,10.29,28.28,0.6,0.3,34.8,"1,843.08",18.43,Pre-Felling,40,0,NonDipterocarp,26
2671,TEIJCO,15,1,89.9,59.5,2017.00,60,Emergent,Alive,61,Mature,,,3,3,1.5,44361.87,"10,425.04","20,850.08","22,180.93",2.09,64.64,0.53,0.27,0.01,26.59,15.43,42.03,4.1,2.05,40.4,"4,673.48",46.73,Pre-Felling,20,0,NonDipterocarp,33
2672,HOPEME,15,1,93.1,53.3,2017.00,0,Dead,Dead,0,Dead,,,26,26,13,0,0,0,0,0,0,0,0,0.09,0,133.74,133.83,0,0,0,0,0,,0,0,NonDipterocarp,0
2673,HORSPO,15,1,95.2,53.9,2017.00,0,Dead,Dead,0,Dead,,,4,4,2,0,0,0,0,0,0,0,0,0.01,0,20.58,20.59,0,0,0,0,0,,0,0,NonDipterocarp,0
2674,HORSPO,15,1,97.8,52.6,2017.00,0,Dead,Dead,0,Dead,,,4,4,2,0,0,0,0,0,0,0,0,0.01,0,20.58,20.59,0,0,0,0,0,,0,0,NonDipterocarp,0
2674A,AGLASP,15,1,97.2,51.2,2017.00,10.8,Understory,Alive,2,Young,,,2,2,1,102.03,20.92,47.95,44.5,0,0.15,0.1,0.05,0.01,4.79,10.29,15.08,10.8,5.4,16,59.72,0.6,Pre-Felling,0,40,NonDipterocarp,15
2675,MYRIM1,15,1,99.1,54.5,2017.00,0,Dead,Dead,0,Dead,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,0,NonDipterocarp,0
2676,XANTST,15,1,96.3,59.5,2017.00,44.1,Canopy,Alive,70,Mature,,,7,7,3.5,34614.14,"8,134.32","16,268.65","17,307.07",1.63,50.43,0.39,0.2,0.02,19.54,36.01,55.57,1.5,0.75,36.1,"2,251.19",22.51,Pre-Felling,40,0,NonDipterocarp,27
2676A,NEOSKI,15,1,94.8,57,2017.00,11,Understory,Alive,5,Young,,,13,13,6.5,700.74,164.67,329.35,350.37,0.03,1.02,0.1,0.05,0.04,4.87,66.87,71.79,0.2,0.1,16.2,62.8,0.63,Pre-Felling,0,0,NonDipterocarp,15
2677,RYPAKU,15,1,90.2,48,2017.00,0,Dead,Dead,0,Dead,,,22,22,11,0,0,0,0,0,0,0,0,0.07,0,113.17,113.24,0,0,0,0,0,,0,0,NonDipterocarp,0
2677A,SANTAP,15,1,96.6,45.9,2017.00,0,Dead,Dead,0,Dead,,,4,4,2,0,0,0,0,0,0,0,0,0.01,0,20.58,20.59,0,0,0,0,0,,0,0,NonDipterocarp,0
2677B,TEIJCO,15,1,99.4,41.8,2017.00,14,Understory,Alive,38,Intermediate,,,3,3,1.5,337.35,79.28,158.56,168.68,0.02,0.49,0.12,0.06,0.01,6.2,15.43,21.65,-0.1,-0.05,19.2,120.74,1.21,Pre-Felling,0,0,NonDipterocarp,16
2677C,LITHRA,15,1,97.8,44,2017.00,29,Understory,Alive,26,Intermediate,,,3,3,1.5,3525.96,828.6,"1,657.20","1,762.98",0.17,5.14,0.26,0.13,0.01,12.85,15.43,28.29,2.2,1.1,29.7,802.62,8.03,Pre-Felling,50,0,NonDipterocarp,21
2677D,SHORP1,15,1,97.2,44.2,2017.00,13.3,Understory,Alive,5,Young,,,24,24,12,2304.07,541.46,"1,082.91","1,152.03",0.11,3.36,0.12,0.06,0.08,5.89,123.46,129.43,-1.2,-0.6,18.5,105.18,1.05,Pre-Felling,0,0,Dipterocarp,16
2677E,VATIOD,15,1,97,44.6,2017.00,11.7,Understory,Alive,5,Young,,,1,1,0.5,64.93,13.31,30.52,28.32,0,0.09,0.1,0.05,0,5.18,5.14,10.33,-5.1,-2.55,16.9,74.32,0.74,Pre-Felling,0,6,NonDipterocarp,15
2677F,ALPHEL,15,1,95.2,45.8,2017.00,13.5,Understory,Alive,5,Young,,,7,7,3.5,703.6,165.35,330.69,351.8,0.03,1.03,0.12,0.06,0.02,5.98,36.01,42.01,0.7,0.35,18.7,109.49,1.09,Pre-Felling,0,0,NonDipterocarp,16
2678,KNEMMA,15,1,90.3,48,2017.00,0,Dead,Dead,0,Dead,,,11,11,5.5,0,0,0,0,0,0,0,0,0.04,0,56.58,56.62,0,0,0,0,0,,0,6,NonDipterocarp,0
2679,SHORM2,15,1,93,44.4,2017.00,15.9,Understory,Alive,46,Intermediate,,,28,28,14,4680.44,"1,099.90","2,199.81","2,340.22",0.22,6.82,0.14,0.07,0.09,7.05,144.03,151.17,-0.2,-0.1,20.9,169.63,1.7,Pre-Felling,50,0,Dipterocarp,17
2680,TEIJCO,15,1,91.5,42.3,2017.00,0,Dead,Dead,0,Dead,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,0,NonDipterocarp,0
2681,EUGESP,16,1,84.1,61.9,2017.00,0,Dead,Dead,0,Dead,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,0,NonDipterocarp,0
2682,DIPTC1,16,1,85.1,61.6,2017.00,42,Canopy,Alive,57,Intermediate,,,27,27,13.5,112585.5,"26,457.59","52,915.18","56,292.75",5.29,164.04,0.37,0.19,0.09,18.61,138.89,157.59,0.5,0.25,35.3,"2,000.99",20.01,Pre-Felling,40,6,Dipterocarp,26
2682A,MEMEO1,16,1,81,62,2017.00,14.6,Understory,Alive,33,Intermediate,,,1,1,0.5,128.07,26.25,60.19,55.86,0.01,0.19,0.13,0.06,0,6.47,5.14,11.62,-0.2,-0.1,19.7,135.12,1.35,Pre-Felling,0,0,NonDipterocarp,16
2682B,GYNOMA,16,1,0,0,2017.00,0,Dead,Dead,0,Dead,,,1,1,0.5,0,0,0,0,0,0,0,0,0,0,5.14,5.15,0,0,0,0,0,,0,0,NonDipterocarp,0
2682C,GARCMA,16,1,0,0,2017.00,0,Dead,Dead,0,Dead,,,3,3,1.5,0,0,0,0,0,0,0,0,0.01,0,15.43,15.44,0,0,0,0,0,,0,8,NonDipterocarp,0
2682D,PELLSA,16,1,80.5,60.5,2017.00,16.2,Understory,Alive,5,Young,,,1,1,0.5,177.27,41.66,83.32,88.63,0.01,0.26,0.14,0.07,0,7.18,5.14,12.33,0.2,0.1,21.2,178.26,1.78,Pre-Felling,50,9,NonDipterocarp,17
2683,XANTEU,16,1,90.4,70.2,2017.00,14.5,Understory,Alive,50,Intermediate,,,32,32,16,4011.77,942.76,"1,885.53","2,005.88",0.19,5.85,0.13,0.06,0.11,6.42,164.61,171.14,0,0,19.7,132.66,1.33,Pre-Felling,0,15,NonDipterocarp,16
2683A,MONOMA,16,1,95.6,60.2,2017.00,13.3,Understory,Alive,26,Intermediate,,,30,30,15,2880.09,676.82,"1,353.64","1,440.04",0.14,4.2,0.12,0.06,0.1,5.89,154.32,160.31,-0.6,-0.3,18.5,105.18,1.05,Pre-Felling,0,11,NonDipterocarp,16
2683B,SANTLA,16,1,93.3,60.2,2017.00,12.8,Understory,Alive,5,Young,,,18,18,9,1536.44,361.06,722.13,768.22,0.07,2.24,0.11,0.06,0.06,5.67,92.59,98.32,0.2,0.1,18,94.84,0.95,Pre-Felling,0,4,NonDipterocarp,15
2684,PORTAN,16,1,90.3,64.5,2017.00,0,Dead,Dead,0,Dead,,,23,23,11.5,0,0,0,0,0,0,0,0,0.08,0,118.31,118.39,0,0,0,0,0,,0,0,NonDipterocarp,0
2685,XANTEU,16,1,84.8,69.7,2017.00,11.8,Understory,Alive,50,Intermediate,,,32,32,16,2132.05,501.03,"1,002.06","1,066.02",0.1,3.11,0.1,0.05,0.11,5.23,164.61,169.94,-0.1,-0.05,17,76.06,0.76,Pre-Felling,0,15,NonDipterocarp,15
2686,MESUFE,16,1,80.9,71.3,2017.00,36.7,Canopy,Alive,57,Intermediate,,,15,15,7.5,39214.02,"9,215.29","18,430.59","19,607.01",1.84,57.13,0.33,0.16,0.05,16.26,77.16,93.47,0.3,0.15,33.3,"1,440.34",14.4,Pre-Felling,40,0,NonDipterocarp,24
2687,DIPTC1,16,1,80.1,71.9,2017.00,79.6,Emergent,Alive,73,Mature,,,27,27,13.5,1124588,"264,278.18","528,556.36","562,294.00",52.86,"1,638.52",0.71,0.35,0.09,35.27,138.89,174.25,0.6,0.3,44.1,"8,969.88",89.7,Pre-Felling,20,6,Dipterocarp,40
2688,MESURA,16,1,81.3,73.5,2017.00,25.5,Understory,Alive,55,Intermediate,,,16,16,8,12254.05,"2,879.70","5,759.40","6,127.03",0.58,17.85,0.23,0.11,0.05,11.3,82.3,93.66,0.3,0.15,27.8,579.79,5.8,Pre-Felling,50,0,NonDipterocarp,20
2689,MEL1FU,16,1,86.5,72.2,2017.00,0,Dead,Dead,0,Dead,,,9,9,4.5,0,0,0,0,0,0,0,0,0.03,0,46.3,46.33,0,0,0,0,0,,0,0,NonDipterocarp,0
